,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
1423854,23/06/2017 15:09,23/06/2017 15:14,321,Wood St & Hubbard St,Damen Ave & Chicago Ave,Subscriber,Male,1992
955915,25/05/2017 18:19,25/05/2017 18:45,1610,Theater on the Lake,Sheffield Ave & Waveland Ave,Subscriber,Female,1992
9031,04/01/2017 8:27,04/01/2017 8:34,416,May St & Taylor St,Wood St & Taylor St,Subscriber,Male,1981
304487,06/03/2017 13:49,06/03/2017 13:55,350,Christiana Ave & Lawrence Ave,St. Louis Ave & Balmoral Ave,Subscriber,Male,1986
45207,17/01/2017 14:53,17/01/2017 15:02,534,Clark St & Randolph St,Desplaines St & Jackson Blvd,Subscriber,Male,1975
1473887,26/06/2017 9:01,26/06/2017 9:11,586,Clinton St & Washington Blvd,Canal St & Taylor St,Subscriber,Male,1990
961916,26/05/2017 9:41,26/05/2017 9:46,281,Ashland Ave & Lake St,Wood St & Hubbard St,Subscriber,Female,1983
65924,21/01/2017 14:28,21/01/2017 14:40,723,Larrabee St & Kingsbury St,Larrabee St & Armitage Ave,Customer,,
606841,20/04/2017 16:08,20/04/2017 16:20,689,Sedgwick St & Huron St,Halsted St & Blackhawk St (*),Subscriber,Male,1984
135470,06/02/2017 18:00,06/02/2017 18:09,493,Stetson Ave & South Water St,Clinton St & Washington Blvd,Subscriber,Male,1979
175805,15/02/2017 7:09,15/02/2017 7:14,301,Broadway & Barry Ave,Wilton Ave & Belmont Ave,Subscriber,Female,1993
71678,22/01/2017 15:15,22/01/2017 15:31,917,Southport Ave & Wellington Ave,Clark St & Schiller St,Subscriber,Male,1964
19061,08/01/2017 16:03,08/01/2017 16:07,277,Green St & Madison St,Ada St & Washington Blvd,Subscriber,Male,1961
1023296,30/05/2017 15:46,30/05/2017 15:52,354,Larrabee St & Kingsbury St,Clark St & Elm St,Subscriber,Male,1985
611000,20/04/2017 19:26,20/04/2017 19:35,515,Canal St & Madison St,Racine Ave (May St) & Fulton St,Subscriber,Male,1984
958716,25/05/2017 22:59,25/05/2017 23:07,466,Clark St & Armitage Ave,Sheffield Ave & Wrightwood Ave,Subscriber,Female,1985
718598,03/05/2017 13:20,03/05/2017 13:31,635,Ada St & Washington Blvd,Daley Center Plaza,Subscriber,Male,1967
931608,23/05/2017 8:08,23/05/2017 8:11,164,Damen Ave & Cortland St,Marshfield Ave & Cortland St,Subscriber,Male,1990
1469705,25/06/2017 21:26,25/06/2017 21:33,434,State St & Pearson St,Clark St & Schiller St,Subscriber,Male,1987
475456,08/04/2017 11:37,08/04/2017 11:51,840,Adler Planetarium,Burnham Harbor,Customer,,
849468,16/05/2017 6:36,16/05/2017 6:59,1397,Michigan Ave & Oak St,Halsted St & Wrightwood Ave,Subscriber,Female,1992
1420915,23/06/2017 12:21,23/06/2017 12:32,713,Rush St & Cedar St,Halsted St & Willow St,Subscriber,Male,1985
161454,12/02/2017 15:24,12/02/2017 15:38,854,Clarendon Ave & Leland Ave,Lake Shore Dr & Belmont Ave,Subscriber,Male,1980
1413814,22/06/2017 19:14,22/06/2017 19:29,917,Bissell St & Armitage Ave,Orleans St & Chestnut St (NEXT Apts),Subscriber,Female,1989
717248,03/05/2017 9:41,03/05/2017 9:49,479,Wabash Ave & Roosevelt Rd,Halsted St & Roosevelt Rd,Subscriber,Male,1992
1451810,24/06/2017 20:47,24/06/2017 21:13,1559,Rush St & Cedar St,Halsted St & Roscoe St,Subscriber,Male,1968
385517,23/03/2017 9:38,23/03/2017 9:42,254,Loomis St & Jackson Blvd,Peoria St & Jackson Blvd,Subscriber,Female,1985
