,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
5688089,11/06/2017 14:55,11/06/2017 15:08,795,Suffolk St & Stanton St,W Broadway & Spring St,Subscriber,Male,1998
4096714,11/05/2017 15:30,11/05/2017 15:41,692,Lexington Ave & E 63 St,1 Ave & E 78 St,Subscriber,Male,1981
2173887,29/03/2017 13:26,29/03/2017 13:48,1325,1 Pl & Clinton St,Henry St & Degraw St,Subscriber,Male,1987
3945638,08/05/2017 19:47,08/05/2017 19:59,703,Barrow St & Hudson St,W 20 St & 8 Ave,Subscriber,Female,1986
6208972,21/06/2017 7:49,21/06/2017 7:54,329,1 Ave & E 44 St,E 53 St & 3 Ave,Subscriber,Male,1992
1285652,22/02/2017 18:55,22/02/2017 19:12,998,State St & Smith St,Bond St & Fulton St,Subscriber,Male,1986
1675753,06/03/2017 16:22,06/03/2017 16:30,478,Front St & Gold St,Lafayette Ave & Fort Greene Pl,Subscriber,Male,1982
1692245,07/03/2017 7:42,07/03/2017 8:49,4038,E 89 St & York Ave,Broadway & Battery Pl,Subscriber,Male,1984
2271331,02/04/2017 8:02,02/04/2017 9:28,5132,Central Park S & 6 Ave,Central Park S & 6 Ave,Customer,,
1558339,01/03/2017 23:01,01/03/2017 23:06,309,E 3 St & 1 Ave,E 25 St & 2 Ave,Subscriber,Male,1992
2287178,02/04/2017 14:37,02/04/2017 14:56,1131,Bank St & Washington St,Little West St & 1 Pl,Customer,,
2744874,13/04/2017 13:40,13/04/2017 13:45,319,Front St & Maiden Ln,Liberty St & Broadway,Subscriber,Male,1955
3398180,27/04/2017 23:27,28/04/2017 0:05,2301,E 10 St & 5 Ave,Columbus Ave & W 72 St,Subscriber,Male,1971
991609,13/02/2017 15:40,13/02/2017 16:00,1172,1 Ave & E 68 St,E 47 St & Park Ave,Subscriber,Male,1993
1512596,28/02/2017 19:26,28/02/2017 19:35,518,N 11 St & Wythe Ave,Bushwick Ave & Powers St,Subscriber,Male,1983
187466,11/01/2017 11:30,11/01/2017 11:35,285,E 17 St & Broadway,W 17 St & 8 Ave,Subscriber,Male,1972
2195658,29/03/2017 20:19,29/03/2017 20:24,263,State St & Smith St,Johnson St & Gold St,Subscriber,Male,1982
6388534,23/06/2017 21:21,23/06/2017 21:30,525,E 2 St & Avenue C,E 11 St & 2 Ave,Subscriber,Female,1997
4733837,24/05/2017 8:53,24/05/2017 9:04,658,Central Park West & W 76 St,E 72 St & York Ave,Subscriber,Male,1979
5857,01/01/2017 13:32,01/01/2017 13:49,1038,W 22 St & 8 Ave,W 45 St & 6 Ave,Customer,,
